"OrderID","CustomerName","City","Product","Category","Quantity","Price","Discount","PaymentMethod","Revenue","DiscountAmount","FinalAmount","OrderSize","Tax","TotalBill"
29,"Rohit","Pune","Watch","Electronics",5,7500,10,"Card",37500,3750,33750,"Medium",6075,39825
30,"Amit","Mumbai","Mobile","Electronics",4,13000,15,"UPI",52000,7800,44200,"Medium",7956,52156
31,"Rahul","Pune","Mobile","Electronics",7,10000,10,"Cash",70000,7000,63000,"Medium",11340,74340
32,"Sneha","Mumbai","Mobile","Fashion",3,17500,10,"Cash",52500,5250,47250,"Small",8505,55755
33,"Priya","Hyderabad","Laptop","Fashion",10,27500,5,"UPI",275000,13750,261250,"Large",47025,308275
34,"Neha","Hyderabad","Tablet","Fashion",7,15500,15,"Card",108500,16275,92225,"Medium",16600.5,108825.5
35,"Sneha","Pune","Shoes","Fashion",10,12000,15,"Card",120000,18000,102000,"Large",18360,120360
36,"Rahul","Mumbai","Tablet","Fashion",7,8500,5,"Card",59500,2975,56525,"Medium",10174.5,66699.5
37,"Priya","Hyderabad","Tablet","Fashion",2,35500,15,"UPI",71000,10650,60350,"Small",10863,71213
38,"Rohit","Bangalore","Tablet","Fashion",2,28500,20,"Cash",57000,11400,45600,"Small",8208,53808
39,"Arjun","Mumbai","Shoes","Fashion",2,38500,15,"UPI",77000,11550,65450,"Small",11781,77231
40,"Neha","Mumbai","Shoes","Electronics",3,17500,0,"Cash",52500,0,52500,"Small",9450,61950
41,"Rohit","Delhi","Tablet","Electronics",8,29000,20,"Card",232000,46400,185600,"Large",33408,219008
42,"Kiran","Pune","Shoes","Fashion",9,27000,10,"Card",243000,24300,218700,"Large",39366,258066
43,"Amit","Pune","Mobile","Fashion",1,6500,10,"Card",6500,650,5850,"Small",1053,6903
44,"Arjun","Hyderabad","Tablet","Electronics",7,39000,0,"Card",273000,0,273000,"Medium",49140,322140
45,"Rohit","Hyderabad","Shoes","Fashion",8,34000,0,"Cash",272000,0,272000,"Large",48960,320960
46,"Rahul","Delhi","Mobile","Electronics",1,12500,10,"Card",12500,1250,11250,"Small",2025,13275
47,"Rahul","Mumbai","Laptop","Electronics",9,14500,15,"Card",130500,19575,110925,"Large",19966.5,130891.5
48,"Amit","Hyderabad","Tablet","Electronics",3,26500,15,"UPI",79500,11925,67575,"Small",12163.5,79738.5
49,"Rohit","Hyderabad","Shoes","Electronics",9,8000,10,"UPI",72000,7200,64800,"Large",11664,76464
50,"Priya","Delhi","Laptop","Electronics",2,20500,20,"Card",41000,8200,32800,"Small",5904,38704
51,"Neha","Delhi","Laptop","Electronics",4,4500,0,"UPI",18000,0,18000,"Medium",3240,21240
52,"Arjun","Pune","Shoes","Fashion",8,18500,20,"Card",148000,29600,118400,"Large",21312,139712
53,"Rohit","Bangalore","Shoes","Fashion",4,27000,0,"UPI",108000,0,108000,"Medium",19440,127440
54,"Arjun","Mumbai","Watch","Electronics",2,43000,0,"Cash",86000,0,86000,"Small",15480,101480
55,"Priya","Pune","Laptop","Electronics",6,43000,15,"Cash",258000,38700,219300,"Medium",39474,258774
56,"Kiran","Mumbai","Shoes","Fashion",3,12000,10,"UPI",36000,3600,32400,"Small",5832,38232
57,"Sneha","Bangalore","Watch","Fashion",7,7000,15,"Cash",49000,7350,41650,"Medium",7497,49147
58,"Rahul","Hyderabad","Tablet","Electronics",3,15000,10,"Card",45000,4500,40500,"Small",7290,47790
59,"Amit","Pune","Mobile","Electronics",7,31000,0,"Card",217000,0,217000,"Medium",39060,256060
60,"Arjun","Pune","Watch","Electronics",7,20000,5,"UPI",140000,7000,133000,"Medium",23940,156940
61,"Arjun","Pune","Shoes","Fashion",7,47500,10,"UPI",332500,33250,299250,"Medium",53865,353115
62,"Kiran","Hyderabad","Shoes","Electronics",7,19500,10,"Cash",136500,13650,122850,"Medium",22113,144963
63,"Neha","Delhi","Laptop","Electronics",8,36000,0,"UPI",288000,0,288000,"Large",51840,339840
64,"Rohit","Pune","Tablet","Fashion",8,7000,0,"UPI",56000,0,56000,"Large",10080,66080
65,"Arjun","Mumbai","Tablet","Fashion",1,24000,0,"UPI",24000,0,24000,"Small",4320,28320
66,"Amit","Mumbai","Tablet","Fashion",5,32500,0,"Cash",162500,0,162500,"Medium",29250,191750
67,"Rahul","Pune","Watch","Electronics",9,11500,5,"Card",103500,5175,98325,"Large",17698.5,116023.5
68,"Rahul","Mumbai","Mobile","Electronics",1,13000,5,"UPI",13000,650,12350,"Small",2223,14573
69,"Priya","Pune","Watch","Fashion",6,23000,0,"Cash",138000,0,138000,"Medium",24840,162840
70,"Rahul","Hyderabad","Mobile","Fashion",9,11500,5,"Cash",103500,5175,98325,"Large",17698.5,116023.5
71,"Sneha","Mumbai","Laptop","Fashion",10,47500,15,"Card",475000,71250,403750,"Large",72675,476425
72,"Arjun","Delhi","Shoes","Electronics",10,31500,0,"Card",315000,0,315000,"Large",56700,371700
73,"Rohit","Hyderabad","Mobile","Electronics",8,10500,10,"Cash",84000,8400,75600,"Large",13608,89208
74,"Rahul","Bangalore","Mobile","Fashion",8,40500,10,"Card",324000,32400,291600,"Large",52488,344088
75,"Rohit","Hyderabad","Tablet","Fashion",7,19500,20,"Cash",136500,27300,109200,"Medium",19656,128856
76,"Amit","Mumbai","Watch","Electronics",7,35500,5,"UPI",248500,12425,236075,"Medium",42493.5,278568.5
77,"Neha","Pune","Laptop","Electronics",1,22500,15,"UPI",22500,3375,19125,"Small",3442.5,22567.5
78,"Rohit","Bangalore","Tablet","Electronics",10,23500,15,"Card",235000,35250,199750,"Large",35955,235705
79,"Kiran","Mumbai","Tablet","Fashion",9,38000,5,"Cash",342000,17100,324900,"Large",58482,383382
80,"Neha","Hyderabad","Mobile","Fashion",8,48000,0,"Card",384000,0,384000,"Large",69120,453120
81,"Sneha","Pune","Watch","Electronics",3,23000,5,"Cash",69000,3450,65550,"Small",11799,77349
82,"Sneha","Hyderabad","Laptop","Electronics",8,41500,20,"Cash",332000,66400,265600,"Large",47808,313408
83,"Priya","Pune","Shoes","Fashion",6,30000,5,"Cash",180000,9000,171000,"Medium",30780,201780
84,"Kiran","Bangalore","Shoes","Electronics",1,41500,20,"UPI",41500,8300,33200,"Small",5976,39176
85,"Sneha","Delhi","Laptop","Electronics",4,44500,0,"Cash",178000,0,178000,"Medium",32040,210040
86,"Sneha","Pune","Tablet","Fashion",3,8500,10,"Card",25500,2550,22950,"Small",4131,27081
87,"Rohit","Pune","Shoes","Electronics",5,4500,15,"Card",22500,3375,19125,"Medium",3442.5,22567.5
88,"Rohit","Mumbai","Shoes","Fashion",7,11500,0,"Cash",80500,0,80500,"Medium",14490,94990
89,"Kiran","Bangalore","Laptop","Electronics",2,15500,0,"UPI",31000,0,31000,"Small",5580,36580
90,"Rahul","Mumbai","Watch","Electronics",8,19000,15,"Cash",152000,22800,129200,"Large",23256,152456
91,"Sneha","Pune","Tablet","Fashion",8,16500,20,"Card",132000,26400,105600,"Large",19008,124608
92,"Amit","Hyderabad","Shoes","Fashion",4,40000,5,"UPI",160000,8000,152000,"Medium",27360,179360
93,"Rahul","Hyderabad","Mobile","Electronics",8,30000,0,"Cash",240000,0,240000,"Large",43200,283200
94,"Amit","Pune","Tablet","Fashion",10,36000,0,"Cash",360000,0,360000,"Large",64800,424800
95,"Neha","Pune","Mobile","Fashion",6,2500,5,"Card",15000,750,14250,"Medium",2565,16815
96,"Arjun","Hyderabad","Tablet","Fashion",2,31500,15,"Card",63000,9450,53550,"Small",9639,63189
97,"Arjun","Hyderabad","Tablet","Fashion",1,37000,10,"UPI",37000,3700,33300,"Small",5994,39294
98,"Sneha","Mumbai","Laptop","Fashion",9,20500,10,"Card",184500,18450,166050,"Large",29889,195939
99,"Rohit","Mumbai","Watch","Fashion",3,46000,0,"UPI",138000,0,138000,"Small",24840,162840
100,"Priya","Hyderabad","Shoes","Fashion",5,18500,5,"Card",92500,4625,87875,"Medium",15817.5,103692.5
101,"Rahul","Pune","Shoes","Electronics",5,23000,20,"Cash",115000,23000,92000,"Medium",16560,108560
102,"Neha","Pune","Watch","Electronics",9,41500,10,"Cash",373500,37350,336150,"Large",60507,396657
103,"Sneha","Hyderabad","Tablet","Fashion",4,48500,5,"Cash",194000,9700,184300,"Medium",33174,217474
104,"Rahul","Hyderabad","Mobile","Electronics",10,8000,10,"Card",80000,8000,72000,"Large",12960,84960
105,"Kiran","Bangalore","Shoes","Fashion",3,3000,10,"Cash",9000,900,8100,"Small",1458,9558
106,"Sneha","Hyderabad","Watch","Fashion",3,26000,5,"UPI",78000,3900,74100,"Small",13338,87438
107,"Rahul","Hyderabad","Mobile","Electronics",6,36000,10,"Card",216000,21600,194400,"Medium",34992,229392
108,"Rohit","Bangalore","Tablet","Electronics",10,44500,15,"UPI",445000,66750,378250,"Large",68085,446335
109,"Priya","Mumbai","Tablet","Fashion",4,39000,10,"UPI",156000,15600,140400,"Medium",25272,165672
110,"Kiran","Hyderabad","Laptop","Electronics",7,47500,10,"Card",332500,33250,299250,"Medium",53865,353115
111,"Kiran","Pune","Tablet","Fashion",9,23000,5,"UPI",207000,10350,196650,"Large",35397,232047
112,"Sneha","Pune","Mobile","Fashion",3,44500,20,"UPI",133500,26700,106800,"Small",19224,126024
113,"Neha","Mumbai","Tablet","Electronics",6,4000,20,"UPI",24000,4800,19200,"Medium",3456,22656
114,"Rohit","Pune","Tablet","Electronics",5,21500,15,"UPI",107500,16125,91375,"Medium",16447.5,107822.5
115,"Rahul","Mumbai","Laptop","Electronics",9,12000,15,"Card",108000,16200,91800,"Large",16524,108324
116,"Sneha","Hyderabad","Mobile","Fashion",4,2500,10,"Card",10000,1000,9000,"Medium",1620,10620
117,"Sneha","Pune","Mobile","Electronics",3,7000,0,"UPI",21000,0,21000,"Small",3780,24780
118,"Kiran","Delhi","Mobile","Fashion",7,48500,20,"Cash",339500,67900,271600,"Medium",48888,320488
119,"Priya","Mumbai","Shoes","Fashion",4,32500,20,"Card",130000,26000,104000,"Medium",18720,122720
120,"Sneha","Mumbai","Laptop","Fashion",5,49500,20,"Card",247500,49500,198000,"Medium",35640,233640
121,"Arjun","Hyderabad","Watch","Electronics",8,2000,20,"Card",16000,3200,12800,"Large",2304,15104
122,"Kiran","Bangalore","Watch","Electronics",7,17500,10,"Cash",122500,12250,110250,"Medium",19845,130095
123,"Rohit","Pune","Tablet","Electronics",8,41000,15,"Cash",328000,49200,278800,"Large",50184,328984
124,"Priya","Hyderabad","Tablet","Electronics",6,5000,0,"Cash",30000,0,30000,"Medium",5400,35400
125,"Rohit","Mumbai","Watch","Electronics",8,6000,20,"Cash",48000,9600,38400,"Large",6912,45312
126,"Sneha","Hyderabad","Laptop","Electronics",7,24000,5,"Card",168000,8400,159600,"Medium",28728,188328
127,"Amit","Mumbai","Shoes","Electronics",1,1500,0,"Card",1500,0,1500,"Small",270,1770
128,"Rohit","Mumbai","Mobile","Fashion",6,13000,20,"Card",78000,15600,62400,"Medium",11232,73632
129,"Arjun","Bangalore","Watch","Fashion",10,38000,10,"Card",380000,38000,342000,"Large",61560,403560
130,"Arjun","Delhi","Shoes","Fashion",6,30000,0,"UPI",180000,0,180000,"Medium",32400,212400
131,"Kiran","Bangalore","Watch","Electronics",10,22500,5,"Card",225000,11250,213750,"Large",38475,252225
132,"Priya","Delhi","Laptop","Electronics",4,4000,5,"Card",16000,800,15200,"Medium",2736,17936
133,"Amit","Delhi","Mobile","Electronics",9,8500,5,"Cash",76500,3825,72675,"Large",13081.5,85756.5
134,"Amit","Delhi","Tablet","Electronics",9,2500,20,"UPI",22500,4500,18000,"Large",3240,21240
135,"Amit","Hyderabad","Laptop","Fashion",10,41500,20,"UPI",415000,83000,332000,"Large",59760,391760
136,"Neha","Delhi","Laptop","Electronics",4,16000,15,"Cash",64000,9600,54400,"Medium",9792,64192
137,"Amit","Mumbai","Tablet","Fashion",5,1000,10,"Card",5000,500,4500,"Medium",810,5310
138,"Amit","Delhi","Mobile","Fashion",9,8500,10,"UPI",76500,7650,68850,"Large",12393,81243
139,"Sneha","Pune","Shoes","Electronics",3,24500,0,"Card",73500,0,73500,"Small",13230,86730
140,"Rohit","Hyderabad","Watch","Electronics",3,36000,10,"Cash",108000,10800,97200,"Small",17496,114696
141,"Neha","Pune","Tablet","Fashion",2,25500,10,"Cash",51000,5100,45900,"Small",8262,54162
142,"Neha","Bangalore","Shoes","Electronics",7,9000,0,"UPI",63000,0,63000,"Medium",11340,74340
143,"Sneha","Mumbai","Watch","Fashion",1,13000,15,"Cash",13000,1950,11050,"Small",1989,13039
144,"Rahul","Mumbai","Tablet","Electronics",3,15000,15,"Cash",45000,6750,38250,"Small",6885,45135
145,"Sneha","Bangalore","Laptop","Fashion",7,41500,10,"Card",290500,29050,261450,"Medium",47061,308511
146,"Sneha","Pune","Watch","Fashion",2,34500,10,"Card",69000,6900,62100,"Small",11178,73278
147,"Sneha","Bangalore","Mobile","Fashion",9,46500,10,"Card",418500,41850,376650,"Large",67797,444447
148,"Priya","Hyderabad","Shoes","Electronics",5,46500,0,"UPI",232500,0,232500,"Medium",41850,274350
149,"Kiran","Hyderabad","Mobile","Fashion",1,23000,20,"UPI",23000,4600,18400,"Small",3312,21712
150,"Sneha","Delhi","Laptop","Electronics",10,6000,15,"Card",60000,9000,51000,"Large",9180,60180
151,"Priya","Hyderabad","Watch","Electronics",9,28000,10,"UPI",252000,25200,226800,"Large",40824,267624
152,"Sneha","Hyderabad","Mobile","Fashion",9,500,20,"Cash",4500,900,3600,"Large",648,4248
153,"Rohit","Delhi","Watch","Fashion",7,24000,0,"Cash",168000,0,168000,"Medium",30240,198240
154,"Kiran","Pune","Laptop","Fashion",2,47000,20,"UPI",94000,18800,75200,"Small",13536,88736
155,"Rahul","Delhi","Laptop","Electronics",8,26000,0,"Card",208000,0,208000,"Large",37440,245440
156,"Rohit","Bangalore","Mobile","Fashion",7,3500,0,"UPI",24500,0,24500,"Medium",4410,28910
157,"Priya","Mumbai","Shoes","Electronics",6,34500,10,"Card",207000,20700,186300,"Medium",33534,219834
158,"Rohit","Hyderabad","Mobile","Fashion",7,5000,20,"Cash",35000,7000,28000,"Medium",5040,33040
159,"Arjun","Pune","Laptop","Electronics",10,18000,20,"Cash",180000,36000,144000,"Large",25920,169920
160,"Rohit","Bangalore","Laptop","Electronics",2,4000,10,"Card",8000,800,7200,"Small",1296,8496
161,"Rohit","Delhi","Laptop","Fashion",2,24500,20,"UPI",49000,9800,39200,"Small",7056,46256
162,"Amit","Pune","Shoes","Fashion",5,47500,15,"UPI",237500,35625,201875,"Medium",36337.5,238212.5
163,"Sneha","Mumbai","Laptop","Fashion",7,34500,15,"Card",241500,36225,205275,"Medium",36949.5,242224.5
164,"Sneha","Delhi","Tablet","Fashion",10,19500,15,"Cash",195000,29250,165750,"Large",29835,195585
165,"Rohit","Delhi","Mobile","Electronics",9,11000,10,"Cash",99000,9900,89100,"Large",16038,105138
166,"Kiran","Pune","Laptop","Fashion",7,38000,15,"UPI",266000,39900,226100,"Medium",40698,266798
167,"Rohit","Mumbai","Laptop","Fashion",6,5000,20,"Card",30000,6000,24000,"Medium",4320,28320
168,"Priya","Pune","Watch","Electronics",4,31000,15,"Cash",124000,18600,105400,"Medium",18972,124372
169,"Amit","Mumbai","Watch","Fashion",3,46500,5,"Card",139500,6975,132525,"Small",23854.5,156379.5
170,"Arjun","Mumbai","Shoes","Electronics",3,47000,15,"Card",141000,21150,119850,"Small",21573,141423
171,"Sneha","Mumbai","Shoes","Electronics",10,32500,10,"UPI",325000,32500,292500,"Large",52650,345150
172,"Kiran","Hyderabad","Shoes","Fashion",2,23500,0,"Card",47000,0,47000,"Small",8460,55460
173,"Kiran","Bangalore","Watch","Fashion",3,7000,10,"Card",21000,2100,18900,"Small",3402,22302
174,"Kiran","Bangalore","Shoes","Electronics",1,35500,20,"Card",35500,7100,28400,"Small",5112,33512
175,"Arjun","Hyderabad","Laptop","Electronics",1,31500,20,"UPI",31500,6300,25200,"Small",4536,29736
176,"Rohit","Bangalore","Tablet","Fashion",1,17000,5,"Card",17000,850,16150,"Small",2907,19057
177,"Priya","Pune","Watch","Fashion",4,37000,10,"Card",148000,14800,133200,"Medium",23976,157176
178,"Neha","Mumbai","Shoes","Electronics",3,39500,10,"Cash",118500,11850,106650,"Small",19197,125847
179,"Neha","Pune","Mobile","Fashion",2,9500,0,"Card",19000,0,19000,"Small",3420,22420
180,"Sneha","Mumbai","Laptop","Electronics",7,41000,5,"UPI",287000,14350,272650,"Medium",49077,321727
181,"Neha","Delhi","Shoes","Electronics",2,11000,15,"UPI",22000,3300,18700,"Small",3366,22066
182,"Arjun","Mumbai","Laptop","Electronics",2,9000,10,"UPI",18000,1800,16200,"Small",2916,19116
183,"Priya","Delhi","Tablet","Fashion",7,25500,15,"Cash",178500,26775,151725,"Medium",27310.5,179035.5
184,"Rahul","Pune","Laptop","Fashion",10,33500,5,"UPI",335000,16750,318250,"Large",57285,375535
185,"Rohit","Bangalore","Tablet","Electronics",4,26000,15,"UPI",104000,15600,88400,"Medium",15912,104312
186,"Sneha","Mumbai","Tablet","Electronics",4,31500,15,"UPI",126000,18900,107100,"Medium",19278,126378
187,"Amit","Delhi","Mobile","Fashion",8,18500,5,"UPI",148000,7400,140600,"Large",25308,165908
188,"Rahul","Hyderabad","Tablet","Electronics",9,9000,0,"Card",81000,0,81000,"Large",14580,95580
189,"Rohit","Hyderabad","Shoes","Fashion",3,20500,0,"UPI",61500,0,61500,"Small",11070,72570
190,"Amit","Delhi","Mobile","Fashion",9,32500,20,"Cash",292500,58500,234000,"Large",42120,276120
191,"Kiran","Mumbai","Laptop","Fashion",3,19500,0,"UPI",58500,0,58500,"Small",10530,69030
192,"Arjun","Hyderabad","Watch","Electronics",6,7500,20,"Card",45000,9000,36000,"Medium",6480,42480
193,"Priya","Bangalore","Tablet","Electronics",5,24500,15,"Cash",122500,18375,104125,"Medium",18742.5,122867.5
194,"Kiran","Mumbai","Shoes","Electronics",2,35000,0,"UPI",70000,0,70000,"Small",12600,82600
195,"Neha","Pune","Watch","Fashion",6,48500,0,"Cash",291000,0,291000,"Medium",52380,343380
196,"Rohit","Bangalore","Watch","Fashion",1,20000,10,"UPI",20000,2000,18000,"Small",3240,21240
197,"Rohit","Pune","Shoes","Fashion",5,37000,20,"Card",185000,37000,148000,"Medium",26640,174640
198,"Neha","Bangalore","Laptop","Electronics",3,30000,20,"Cash",90000,18000,72000,"Small",12960,84960
199,"Rahul","Hyderabad","Laptop","Fashion",3,17000,0,"Card",51000,0,51000,"Small",9180,60180
200,"Kiran","Bangalore","Shoes","Fashion",3,45000,0,"UPI",135000,0,135000,"Small",24300,159300
